layer_idx,layer_name,raw_pc1_alignment,raw_pc1_ratio,raw_mean_dir_alignment,raw_mean_dir_ratio,random_baseline,behavioral_pc1_alignment,behavioral_pc1_ratio,contrastive_mean_alignment,contrastive_mean_ratio
0,model.layers.0,0.3085751533508301,9.970644404366599,0.19483552873134613,6.295502904954736,0.030948365107178688,0.12826180458068848,4.144380486404329,0.15458747744560242,4.995012560929502
1,model.layers.1,0.18424543738365173,5.994450291038536,0.13008162379264832,4.2322232706306115,0.030736001208424568,0.06596384942531586,2.1461427864953606,0.0492202490568161,1.601387477884977
2,model.layers.2,0.14278165996074677,4.557781799905767,0.6649570465087891,21.226319438575324,0.031327005475759506,0.06465909630060196,2.0640049457210172,0.057049836963415146,1.8211071973174227
3,model.layers.3,0.15063491463661194,4.7643205288489,0.44563859701156616,14.094774251450932,0.031617291271686554,0.056041162461042404,1.7724845625451473,0.098946712911129,3.1295125484144095
4,model.layers.4,0.19176781177520752,6.271910761196163,0.4191027581691742,13.707071456233141,0.03057565912604332,0.05785346031188965,1.8921410060616162,0.07231626659631729,2.365157981813146
5,model.layers.5,0.3168674409389496,10.158363753918657,0.5105307102203369,16.366959781657812,0.031192762777209282,0.0883357897400856,2.831932122815849,0.12312448024749756,3.9472129217821146
6,model.layers.6,0.2176549732685089,6.9184942263492095,0.2530174255371094,8.042543533267846,0.03145987540483475,0.18435275554656982,5.859932606672242,0.10467573255300522,3.3272772977874343
7,model.layers.7,0.2832907736301422,9.119471044125522,0.23418842256069183,7.538807251096529,0.031064385548233986,0.17192906141281128,5.534603464512498,0.18075545132160187,5.818735581368751
8,model.layers.8,0.3012418746948242,9.65293901512407,0.3956637978553772,12.678577687977572,0.031207269057631493,0.3714291453361511,11.902006957039841,0.2296808958053589,7.359852219729557
9,model.layers.9,0.1669166386127472,5.53591842421671,0.2571057677268982,8.52711010933946,0.030151570215821266,0.1356908082962036,4.500289796672464,0.14959442615509033,4.961413953664692
10,model.layers.10,0.30815863609313965,9.694818718572758,0.2899654507637024,9.12245236883015,0.031785909086465836,0.44329217076301575,13.946184632031843,0.2576550543308258,8.105951776429805
11,model.layers.11,0.26424670219421387,8.64402621724583,0.31594353914260864,10.335130818438435,0.030569862574338913,0.1034669354557991,3.3846057312029276,0.15148022770881653,4.955214384272645
12,model.layers.12,0.19242432713508606,6.048872313443113,0.24460284411907196,7.689107679938018,0.03181160241365433,0.14159144461154938,4.450937061247747,0.13523000478744507,4.2509647511008835
13,model.layers.13,0.17072653770446777,5.362669197045644,0.2240648865699768,7.038073175409427,0.03183611109852791,0.15114358067512512,4.747551466314693,0.16466835141181946,5.172376290867303
14,model.layers.14,0.2078014314174652,6.75799568638336,0.21692600846290588,7.054739803555876,0.030748972669243813,0.12693385779857635,4.1280681158324315,0.16887852549552917,5.492167878905413
15,model.layers.15,0.17997413873672485,5.706889427740248,0.13758406043052673,4.3627213632351065,0.0315362922847271,0.11009436845779419,3.491037055744039,0.13902975618839264,4.408563648655697
16,model.layers.16,0.059821631759405136,1.9052788499206723,0.043551404029130936,1.3870830089486388,0.03139783442020416,0.061986323446035385,1.9742228283083447,0.07483083754777908,2.3833119877947464
17,model.layers.17,0.17613747715950012,5.694549816909085,0.1920141875743866,6.207846134332431,0.030930886045098305,0.14983196556568146,4.844088866485506,0.1387004256248474,4.484204588850536
18,model.layers.18,0.1805875599384308,5.833568136970807,0.17978045344352722,5.807495960496321,0.03095662035048008,0.18258734047412872,5.898167581240164,0.14894115924835205,4.811286010901905
19,model.layers.19,0.25544777512550354,8.046000873013247,0.24806158244609833,7.8133532693395,0.031748414039611816,0.23270083963871002,7.329526193618616,0.21039631962776184,6.626986555557337
20,model.layers.20,0.24554187059402466,8.078703433078717,0.2971162497997284,9.775579462165064,0.030393721535801888,0.3159778118133545,10.39615372684779,0.2701651453971863,8.888846868920014
21,model.layers.21,0.2424536645412445,7.4565504012682275,0.22857584059238434,7.0297443394567765,0.032515525817871094,0.22023530304431915,6.773234961805202,0.20736849308013916,6.377522167845236
22,model.layers.22,0.13597805798053741,4.318261907448162,0.17194905877113342,5.460594757274942,0.03148907050490379,0.16102847456932068,5.113789225072696,0.12083673477172852,3.8374181580079494
23,model.layers.23,0.12999993562698364,4.175993919806881,0.1064169704914093,3.4184372445500784,0.031130297109484673,0.10606826841831207,3.4072358717951228,0.11605923622846603,3.728176190934243
24,model.layers.24,0.11255136877298355,3.616836054842639,0.1455785483121872,4.6781638294349825,0.031118735671043396,0.15143543481826782,4.866374763830998,0.11056577414274216,3.553029009870629
25,model.layers.25,0.1269603818655014,4.025835591933672,0.1274651736021042,4.041842227309756,0.03153640404343605,0.13478165864944458,4.273843466425729,0.1371796578168869,4.349882544568577
26,model.layers.26,0.08419996500015259,2.6658242972949346,0.11271920800209045,3.568761619595327,0.0315849632024765,0.056408531963825226,1.7859299001327464,0.06918512284755707,2.19044487130153
27,model.layers.27,0.10875577479600906,3.50321956207953,0.13867394626140594,4.466937798980676,0.031044520437717438,0.12189724296331406,3.926529942098428,0.12108375877141953,3.9003261497956037
28,model.layers.28,0.06850958615541458,2.2017181657514926,0.11425480991601944,3.671849512357655,0.031116418540477753,0.07152178138494492,2.2985222092119533,0.06585264950990677,2.116331200131893
29,model.layers.29,0.20721155405044556,6.523905919101295,0.2509362995624542,7.90054790880205,0.031761884689331055,0.2210174798965454,6.9585755096016255,0.2026757299900055,6.381098778970957
30,model.layers.30,0.21433790028095245,6.706082795600058,0.2587340772151947,8.095125227847847,0.03196171298623085,0.2502262592315674,7.828937438691968,0.23302613198757172,7.290789601832984
31,model.layers.31,0.2785569727420807,8.572376175462203,0.3002360761165619,9.239533875531185,0.032494720071554184,0.28082603216171265,8.64220473052613,0.24981757998466492,7.687943510410826
32,model.layers.32,0.1621510088443756,5.2423283609696965,0.2798699140548706,9.048170580548874,0.030931103974580765,0.133156880736351,4.304950658755307,0.13700051605701447,4.42921506262391
33,model.layers.33,0.12231771647930145,3.9736540777768674,0.19848746061325073,6.4481297554871055,0.030782174319028854,0.12116821855306625,3.9363111052831528,0.13062134385108948,4.243408482257012
34,model.layers.34,0.1808691918849945,5.7464661014115395,0.2841731607913971,9.028577052840875,0.03147485479712486,0.1395411640405655,4.433417104116238,0.12961694598197937,4.118110876105094
35,model.layers.35,0.08149884641170502,2.4779775708252063,0.21659322082996368,6.585530554606195,0.03288925811648369,0.026339933276176453,0.8008673343138705,0.01539211068302393,0.4679980971450219
36,model.layers.36,0.1442021131515503,4.633521642539447,0.2572288513183594,8.265311954316296,0.031121492385864258,0.035181835293769836,1.1304674508245107,0.07021027058362961,2.2560058321468572
37,model.layers.37,0.07455591857433319,2.414000835044353,0.16708995401859283,5.41010420421895,0.030884793028235435,0.13209442794322968,4.277005306315677,0.0956619530916214,3.097380316157055
38,model.layers.38,0.09412915259599686,2.952801893918237,0.23414023220539093,7.344905398924594,0.03187790885567665,0.18567277491092682,5.824496516601548,0.14722247421741486,4.61832268439012
39,model.layers.39,0.1353694647550583,4.435378509726571,0.2592429220676422,8.494090505699328,0.03052038513123989,0.56594318151474,18.54311996844152,0.4434690475463867,14.530256781137611
40,model.layers.40,0.10518364608287811,3.300066108121389,0.22973716259002686,7.207848865040747,0.0318731926381588,0.1636057049036026,5.1330188860564245,0.12267497926950455,3.848844915328386
41,model.layers.41,0.07792604714632034,2.444241649320047,0.08398404717445374,2.6342579086144826,0.031881481409072876,0.04768390581011772,1.4956615002490528,0.0719529315829277,2.2568878905847627
